"date","price","open","Max","Min","volume","change"
"01.09.2021","6.889,40","6.453,00","6.926,80","6.453,00","537,29K","6,78%"
"31.08.2021","6.452,20","6.580,00","6.631,40","6.416,00","481,35K","-2,25%"
"30.08.2021","6.600,80","6.667,60","6.725,00","6.564,60","238,84K","-0,49%"
"27.08.2021","6.633,00","6.830,40","6.830,40","6.475,60","532,55K","-2,56%"
"26.08.2021","6.807,00","7.034,40","7.065,00","6.666,00","385,88K","-2,83%"
"25.08.2021","7.005,40","7.001,80","7.130,00","6.964,20","156,16K","-0,34%"
"24.08.2021","7.029,00","7.043,20","7.083,40","6.906,20","216,20K","0,37%"
"23.08.2021","7.003,20","6.897,00","7.056,00","6.874,40","207,03K","2,32%"
"20.08.2021","6.844,40","7.023,20","7.080,00","6.771,80","288,38K","-1,99%"
"19.08.2021","6.983,40","7.186,20","7.329,60","6.843,40","436,47K","-3,18%"
"18.08.2021","7.213,00","7.468,80","7.499,00","7.120,00","382,80K","-2,97%"
"17.08.2021","7.433,80","7.223,00","7.436,00","7.188,00","339,42K","3,05%"
"16.08.2021","7.213,60","7.069,00","7.249,00","7.029,00","266,02K","2,36%"
"13.08.2021","7.047,00","7.016,00","7.059,80","6.988,80","85,19K","0,31%"
"12.08.2021","7.025,20","7.032,00","7.084,00","6.961,40","186,61K","-0,03%"
"11.08.2021","7.027,00","7.050,00","7.095,80","6.951,40","212,39K","-0,50%"
"10.08.2021","7.062,20","6.940,00","7.104,60","6.923,40","306,84K","1,98%"
"09.08.2021","6.925,00","6.750,00","6.983,20","6.702,00","305,60K","2,61%"
"06.08.2021","6.749,00","6.760,00","6.875,00","6.674,00","306,07K","0,03%"
"05.08.2021","6.747,20","6.569,00","6.761,80","6.524,60","338,00K","3,10%"
"04.08.2021","6.544,20","6.420,00","6.577,00","6.382,00","255,81K","1,99%"
"03.08.2021","6.416,60","6.150,00","6.449,20","6.127,00","273,24K","4,00%"
"02.08.2021","6.169,80","6.100,00","6.255,00","6.025,00","228,19K","0,92%"
"30.07.2021","6.113,80","6.364,40","6.368,00","5.970,00","367,43K","-3,83%"
"29.07.2021","6.357,00","6.314,00","6.400,00","6.250,00","345,23K","0,68%"
"28.07.2021","6.314,00","6.455,00","6.492,00","6.218,40","207,58K","-2,48%"
"27.07.2021","6.474,80","6.660,00","6.768,00","6.356,00","255,08K","-2,78%"
"26.07.2021","6.660,00","6.519,00","6.666,00","6.420,00","185,22K","2,10%"
"23.07.2021","6.523,20","6.525,00","6.557,80","6.461,40","129,99K","0,06%"
"22.07.2021","6.519,00","6.518,00","6.570,00","6.406,80","173,78K","0,60%"
"21.07.2021","6.480,00","6.430,40","6.565,00","6.410,40","195,95K","1,09%"
"20.07.2021","6.410,20","6.414,80","6.467,00","6.325,00","159,75K","0,49%"
"19.07.2021","6.379,00","6.400,00","6.495,00","6.250,00","211,25K","-0,51%"
"16.07.2021","6.412,00","6.397,20","6.591,00","6.330,20","342,80K","0,30%"
"15.07.2021","6.393,00","6.306,00","6.460,00","6.187,00","212,70K","1,38%"
"14.07.2021","6.306,00","6.519,40","6.539,80","6.112,40","551,87K","-3,39%"
"13.07.2021","6.527,40","6.810,00","6.828,00","6.455,00","392,33K","-3,96%"
"12.07.2021","6.796,60","6.657,40","6.802,60","6.626,80","250,57K","2,59%"
"09.07.2021","6.625,00","6.694,80","6.720,60","6.568,20","178,08K","-0,72%"
"08.07.2021","6.673,00","6.719,40","6.719,40","6.551,20","237,21K","-0,11%"
"07.07.2021","6.680,60","6.753,00","6.891,00","6.621,00","315,66K","-1,21%"
"06.07.2021","6.762,20","6.640,00","6.991,00","6.567,20","659,02K","1,99%"
"05.07.2021","6.630,00","6.383,20","6.644,00","6.383,20","226,12K","3,87%"
"02.07.2021","6.383,20","6.302,00","6.443,20","6.300,80","234,66K","0,57%"
"01.07.2021","6.347,00","6.439,40","6.439,40","6.271,00","249,46K","-1,15%"
"30.06.2021","6.421,00","6.170,00","6.479,00","6.170,00","350,05K","3,40%"
"29.06.2021","6.210,00","6.175,00","6.265,00","6.161,00","185,90K","0,57%"
"28.06.2021","6.174,80","6.136,00","6.317,80","6.075,40","359,98K","0,82%"
"25.06.2021","6.124,40","6.096,20","6.163,80","6.013,60","246,73K","-0,18%"
"24.06.2021","6.135,40","5.911,00","6.250,00","5.877,00","440,14K","4,18%"
"23.06.2021","5.889,00","5.844,00","5.971,60","5.703,00","263,80K","1,39%"
"22.06.2021","5.808,00","5.726,20","5.857,00","5.641,60","208,29K","1,39%"
"21.06.2021","5.728,60","5.745,00","5.773,40","5.672,20","192,58K","0,21%"
"18.06.2021","5.716,80","5.476,00","5.766,00","5.446,00","618,25K","5,09%"
"17.06.2021","5.440,00","5.470,00","5.480,00","5.354,00","294,16K","-0,33%"
"16.06.2021","5.458,20","5.532,20","5.566,20","5.402,00","243,29K","-1,34%"
"15.06.2021","5.532,20","5.736,40","5.769,20","5.501,20","289,08K","-3,49%"
"14.06.2021","5.732,20","5.700,00","5.846,40","5.625,00","301,86K","0,16%"
"11.06.2021","5.723,00","5.349,00","5.806,20","5.313,40","515,49K","7,39%"
"10.06.2021","5.329,00","5.298,00","5.375,00","5.234,60","201,01K","0,55%"
"09.06.2021","5.300,00","5.180,00","5.300,00","5.164,40","194,88K","2,71%"
"08.06.2021","5.160,00","5.194,20","5.273,60","5.115,00","152,55K","-1,34%"
"07.06.2021","5.230,00","5.316,80","5.365,00","5.162,40","233,03K","-1,48%"
"04.06.2021","5.308,40","5.200,00","5.328,00","4.986,20","584,24K","2,42%"
"03.06.2021","5.183,00","5.350,00","5.374,80","5.110,00","381,39K","-2,48%"
"02.06.2021","5.315,00","5.436,00","5.505,00","5.123,00","708,30K","-2,87%"
"01.06.2021","5.472,20","5.549,80","5.605,40","5.432,40","335,80K","-0,73%"
"31.05.2021","5.512,60","5.539,80","5.672,20","5.439,20","161,76K","0,39%"
"28.05.2021","5.491,00","5.540,00","5.574,00","5.422,20","523,52K","-0,38%"
"27.05.2021","5.512,00","5.108,40","5.669,80","5.084,40","1,16M","8,13%"
"26.05.2021","5.097,80","4.796,00","5.137,00","4.795,00","359,78K","6,00%"
"25.05.2021","4.809,20","4.742,00","4.820,00","4.742,00","141,91K","1,12%"
"24.05.2021","4.756,00","4.738,00","4.779,80","4.730,00","114,16K","0,55%"
"21.05.2021","4.730,20","4.678,00","4.769,80","4.654,40","189,66K","1,83%"
"20.05.2021","4.645,00","4.543,40","4.683,00","4.481,00","236,99K","1,51%"
"19.05.2021","4.575,80","4.669,20","4.692,60","4.515,60","216,12K","-1,32%"
"18.05.2021","4.636,80","4.593,20","4.675,80","4.565,40","175,72K","0,95%"
"17.05.2021","4.593,20","4.601,00","4.626,40","4.500,60","171,31K","-0,36%"
"14.05.2021","4.610,00","4.727,60","4.756,80","4.580,00","131,25K","-2,49%"
"13.05.2021","4.727,60","4.670,00","4.767,40","4.584,60","201,29K","1,51%"
"12.05.2021","4.657,40","4.846,00","4.871,80","4.635,20","365,54K","-3,88%"
"11.05.2021","4.845,60","4.807,20","4.878,00","4.685,80","294,90K","0,38%"
"10.05.2021","4.827,40","4.500,00","4.930,00","4.500,00","509,75K","6,71%"
"07.05.2021","4.523,80","4.537,20","4.548,00","4.454,20","152,95K","0,26%"
"06.05.2021","4.512,00","4.465,20","4.520,00","4.392,20","205,10K","1,28%"
"05.05.2021","4.454,80","4.450,20","4.470,00","4.405,00","149,75K","0,24%"
"04.05.2021","4.444,00","4.391,00","4.446,00","4.310,00","236,38K","1,89%"
